,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,side,InGroup
0,Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,No,B,P,False
1,Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Yes,F,S,False
2,Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,No,A,S,True
3,Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,No,A,S,True
4,Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Yes,F,S,False
5,Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Yes,F,P,False
6,Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Yes,F,S,True
7,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,304.8547912992357,Yes,G,S,True
8,Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Yes,F,S,False
9,Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Yes,B,P,True
10,Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,173.72916912197996,0.0,0.0,Yes,B,P,True
11,Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Yes,B,P,True
12,Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,Yes,F,P,False
13,Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,No,G,S,False
14,Earth,False,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,Yes,F,P,False
15,Earth,False,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,No,G,S,False
16,Mars,False,55 Cancri e,27.0,False,1286.0,122.0,173.72916912197996,0.0,0.0,No,F,P,False
17,Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,No,F,P,False
18,Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,P,False
19,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,True
20,Earth,False,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,No,F,P,True
21,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,No,E,S,True
22,Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,No,E,S,True
23,Earth,True,55 Cancri e,29.0,False,0.0,0.0,173.72916912197996,0.0,0.0,No,E,S,True
24,Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Yes,E,S,True
25,Earth,True,PSO J318.5-22,1.0,False,224.687617481203,0.0,0.0,0.0,0.0,No,E,S,True
26,Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,No,E,S,True
27,Mars,False,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,No,D,P,False
28,Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,173.72916912197996,0.0,0.0,Yes,C,S,False
29,Earth,False,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,No,F,S,False
30,Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,No,C,P,False
31,Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,No,F,P,False
32,Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,No,G,S,False
33,Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Yes,F,P,True
34,Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,P,True
35,Mars,False,TRAPPIST-1e,20.0,False,224.687617481203,0.0,1750.0,990.0,0.0,Yes,F,P,True
36,Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,Yes,D,S,False
37,Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,No,D,P,False
38,Earth,False,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,No,F,S,False
39,Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,No,F,S,False
40,Earth,True,55 Cancri e,30.0,False,0.0,0.0,173.72916912197996,0.0,0.0,No,G,P,False
41,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,False
42,Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,No,B,P,False
43,Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,No,G,P,True
44,Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,True
45,Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,True
46,Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,No,F,P,True
47,Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,P,True
